Top_scorer_id,Points,Name,Year,TeamName,OppTeamName,TeamScore,OppTeamScore,MinsPlayed
48,61,Wilt Chamberlain,1962,Golden State Warriors,Cincinnati Royals,139,143,
49,61,Wilt Chamberlain,1962,Golden State Warriors,Syracuse Nationals,136,124,
50,61,Wilt Chamberlain,1962,Golden State Warriors,St Louis Hawks,130,110,
51,61,Michael Jordan,1987,Chicago Bulls,Detroit Pistons,125,120,43
52,61,Michael Jordan,1987,Chicago Bulls,Atlanta Hawks,114,117,41
53,61,Karl Malone,1990,Utah Jazz,Milwaukee Bucks,144,96,33
54,61,Shaquille O'Neal,2000,Los Angeles Lakers,Los Angeles Clippers,123,103,45
55,61,Kobe Bryant,2009,Los Angeles Lakers,New York Knicks,126,117,37
56,61,Lebron James,2014,Miami Heat,Charlotte Bobcats,124,107,42
57,60,James Harden,2019,Houston Rockets,New York Knicks,114,110,40
58,60,Wilt Chamberlain,1961,Golden State Warriors,Los Angeles Lakers,138,117,48
59,60,Wilt Chamberlain,1961,Golden State Warriors,Los Angeles Lakers,123,118,48
60,60,Wilt Chamberlain,1969,Los Angeles Lakers,Cincinnati Royals,126,113,
61,60,Bernard King,1984,New York Knicks,New Jersey Nets,114,120,41
62,60,Larry Bird,1985,Boston Celtics,Atlanta Hawks,126,115,43
63,60,Tom Chambers,1990,Phoenix Suns,Seattle SuperSonics,121,95,42
64,60,Allen Iverson,2005,Philadelphia 76ers,Orlando Magic,112,99,43
65,60,Gilbert Arenas,2006,Washington Wizards,Los Angeles Lakers,147,141,49
66,60,Kobe Bryant,2007,Los Angeles Lakers,Memphis Grizzlies,121,119,46
67,60,Kobe Bryant,2016,Los Angeles Lakers,Utah Jazz,101,96,42
68,60,Klay Thompson,2016,Golden State Warriors,Indiana Pacers,142,106,29
69,60,James Harden,2018,Houston Rockets,Orlando Magic,114,107,47
70,60,Kemba Walker,2018,Charlotte Hornets,Philadelphia 76ers,119,122,46
